(-3, -149)          
(4, 150)            
(170, 150)          
(0, 0)              
error               
(150, -155)         
(-6, 160)           
(-4, -150)          
(-4.23, -150.56)    
(160, 150)          
(-5, -150)          
(-4, 151)           
(-4, 0)             
(100, 0)            
(-4.5, -149.9)      
(170, -140)         
(100, -160)         
(-5.5, -151)        
(0, -145)           
(0, -160)           
(160, -151)         
(50, -75)           
(100, 150)          
(-2, -151)          
(-2.5, -148.5)      
(4, 155)            
(-3, 140)           
(-6, -149)          
(-4.5, 150)         
(4, 0)              
(160, 0)            
(-1, -150)          
(150, -150)         
